State,District,Latitude,Longitude,District code,Population,Male,Female,Literate,Male_Literate,Female_Literate,Hindus,Muslims,Christians,Sikhs,Buddhists,Jains,Housholds_with_Electric_Lighting,Households_with_Internet,Rural_Households,Urban_Households,Households,Below_Primary_Education,Primary_Education,Middle_Education,Secondary_Education,Higher_Education,Graduate_Education,Having_bathing_facility_Total_Households,Having_latrine_facility_within_the_premises_Total_Households,Sex Ratio,Literacy Rate
Madhya Pradesh,Raisen,23.292518206521724,78.16305495923909,446,1331597,700358,631239,820220,479093,341127,1195235,120331,1725,2262,253,10637,194373,1141,251272,74441,325713,237981,210402,144108,117908,69419,48384,153849,82664,901.0,62.0
Madhya Pradesh,Rajgarh,23.785499026425583,76.66431223922116,442,1545814,790212,755602,804245,488797,315448,1433879,106928,1243,460,121,1599,231130,1611,331894,69823,401717,239738,174381,103464,96386,72316,51499,146783,54463,956.0,52.0
Madhya Pradesh,Ratlam,23.503562290502792,75.14895782122909,434,1455069,738241,716828,825880,485090,340790,1267043,151071,3996,1353,175,29353,213825,3644,266716,107151,373867,224715,194131,129392,111461,86507,67192,151425,96263,971.0,57.0
Madhya Pradesh,Rewa,24.861184625158856,81.57572465057183,430,2365106,1225100,1140006,1441757,845572,596185,2268838,85414,1964,832,986,655,251132,3406,523910,94489,618399,344362,330131,312931,206274,180635,122371,113424,126470,931.0,61.0
Madhya Pradesh,Sagar,23.800318709677374,78.71940357771273,427,2378458,1256257,1122201,1545719,908607,637112,2198297,103480,5580,4146,991,62992,366494,4546,448408,165507,613915,347752,426916,297079,214137,137899,116753,251779,127876,893.0,65.0
Madhya Pradesh,Satna,24.62777621776502,80.75547048710598,429,2228935,1157495,1071440,1371781,801051,570730,2158623,59471,2228,1163,364,3135,294702,3754,461831,114173,576004,338947,334635,309536,197373,148091,105499,120969,142613,926.0,62.0
Madhya Pradesh,Sehore,22.9297199679658,77.06780202883085,445,1311332,683743,627589,780362,469208,311154,1163607,137980,1404,640,357,6232,212138,1566,270427,59220,329647,193885,179388,136284,120687,77541,50655,144152,80229,918.0,60.0
Madhya Pradesh,Seoni,22.33230487804874,79.66053863928111,456,1379131,695879,683252,864194,485341,378853,1145052,79739,1857,360,7288,4982,228695,1182,335045,47542,382587,223650,241327,151636,116124,84398,55984,112129,68267,982.0,63.0
Madhya Pradesh,Shahdol,23.44859864559819,81.4596831828442,460,1066063,540021,526042,604194,348761,255433,997073,42426,2372,912,268,1737,113184,1733,233594,57846,291440,161972,154282,128427,80402,60915,46513,45831,43590,974.0,57.0
Madhya Pradesh,Shajapur,23.566620317220547,76.33555181268885,436,1512681,780520,732161,894612,543509,351103,1321003,174724,815,631,179,13755,232735,1382,312611,73997,386608,271215,239081,141225,111366,75967,48671,164788,68975,938.0,59.0
